Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2,σ
2.4614964216839693e7,0.0024356596690084525,0.700472233459275,-18.427735345078133,0.6469770927920787,101.82670126751569,0.04967524139889637,991647.2954993598,1.1878738035117728e6,3.362910385465622e6,1.4367143021586747e6,0.3929440618683322
2.5342352310362622e7,0.002902864712473648,0.732566155689517,-18.450860914304066,0.6319468099419987,107.29059104494772,0.04049423627067736,975984.802922132,1.1328035397604909e6,3.5547897210894637e6,1.3443413249272471e6,0.3900287348906559
2.4546620225543488e7,0.00030436607710613846,0.8492553428595953,-18.484609257745596,0.6985894852644279,113.19330191579178,0.03076854270475944,851263.0844059752,1.1611307607917134e6,3.86298968914788e6,1.201169201894342e6,0.28101553875308527
2.0352481758079696e7,0.0005490134266365491,0.7161008698629413,-18.399368805586377,0.6266047680789234,135.82481329500388,0.09985281247291884,860655.6616205282,1.0671277874812493e6,3.3997886053422377e6,1.3240015028366928e6,0.2715381542354996
2.3398162131027818e7,0.0007369292985336216,0.7771141902719894,-18.81746414120154,0.9951229664154964,84.22277348309865,0.08439472019467316,1.1111044177078512e6,1.175814529163641e6,3.04544086100126e6,1.5711757759693938e6,0.35875550288924124
2.23696605608777e7,0.003008535880294966,0.7384652124705974,-18.83573245855109,0.9961033100466704,102.7588930279847,0.05975407581679116,1.0648248560738047e6,1.0040764429877235e6,3.3288651260817936e6,1.5957244722520306e6,0.33300031116894924
2.576930157265422e7,0.0014007207844112344,0.7522305364124985,-18.32658441527396,0.5272867312392571,138.29258534614777,0.034146877325734806,806156.1781528348,1.138128249357841e6,3.297832642137022e6,1.0699548473071167e6,0.4047986363386665
1.9050594226703167e7,0.00030956485551316017,0.8566922443547641,-18.917966006836018,1.0958300873799127,109.16109500367453,0.10043754236610408,1.055134145012281e6,1.1232256377063887e6,2.784020282020121e6,1.5166235722751222e6,0.25130649409336353
3.051414582313248e7,0.0006966483906616958,0.5640603311398652,-18.391903185908877,0.6505118394418798,109.28256658070063,0.11457067892354778,893130.7092135942,1.0832197699125377e6,3.5833023014723067e6,1.616924071474051e6,0.3416930408043431
3.051414582313248e7,0.0006966483906616958,0.5640603311398652,-18.391903185908877,0.6505118394418798,109.28256658070063,0.11457067892354778,893130.7092135942,1.0832197699125377e6,3.5833023014723067e6,1.616924071474051e6,0.3416930408043431
2.2918560512577146e7,0.0025392635311829587,0.7617899311998316,-18.41530048862144,0.7577284199498447,100.28001973951166,0.0507769133350615,983554.7518991088,1.0554697796927055e6,3.2582064839891973e6,1.18956862932299e6,0.29952564815619237
2.236592676919286e7,0.0017576189529000805,0.8124196536649024,-18.483161001843044,0.6834595188852286,106.51619356832283,0.052894522877641466,955572.2113490937,1.097892951494594e6,3.025113538773394e6,1.1219739797393195e6,0.31576083997260446
2.564215983415813e7,0.001333675904298334,0.732576244159606,-18.51415117934441,0.6746146734699838,120.63784302120818,0.057966989038546635,894977.1726790438,1.3180282435065955e6,3.532437254664668e6,1.0806490685599768e6,0.3190511149726213
2.503429226294413e7,0.0005615657247446886,0.7531391375146798,-18.621856326075324,0.9159434854862653,92.07534131781415,0.069557100575169,778156.051374853,1.2040265894347264e6,3.6054623566691633e6,1.2574030909843491e6,0.27819284323448756
2.1971958006927054e7,0.002200904911178578,0.7685473497445947,-18.642375716857273,0.8367313783365703,103.09140671899486,0.060256358374929674,988470.4939783174,1.362491921063158e6,3.421643400324033e6,1.232227456016405e6,0.32354444918161834
1.966661436676299e7,0.0037213713830326982,0.8548043841597744,-18.536972483938044,0.8922908942858954,91.36308317973328,0.05956474412151668,1.0283304902177257e6,1.3743347923387303e6,2.8717744778691446e6,1.0046034973746245e6,0.33905203520627947
2.3251902916035738e7,0.0004173203100702277,0.9124336407324338,-18.41541681632006,0.6292114023239137,111.00524466711602,0.03307708070556516,950956.263918957,1.2258397235838515e6,3.8553383053426654e6,1.5556913891332112e6,0.3664871055158618
2.2612233848796763e7,0.00017770884533753248,0.8033068455264749,-18.30506391936855,0.47351228220036556,149.1060148851103,0.04322001885939044,767100.9050210527,1.0149287656475015e6,3.4552475735774953e6,1.216466812955711e6,0.4031221170135321
2.236188244468529e7,0.0069172388737739465,0.7759573204820815,-18.806881963444212,1.1567932284157465,84.15552882940723,0.04548595760285895,1.1118632368238443e6,1.2460795586923086e6,3.0034807852369547e6,1.4019367115092236e6,0.26354321282425713
2.215631877485247e7,0.006348351235026398,0.7758941823268238,-18.72275317315387,0.9636013957569844,83.97677064817678,0.05105291877455293,1.0435410325221755e6,1.1953794089422182e6,2.9993287011056757e6,1.4170810848369845e6,0.2691126215904668
2.0160868735358693e7,0.0005376657066899685,0.8073915720819642,-18.26471582896492,0.5034132264906362,150.8080618730509,0.0681791042495437,716867.2257664215,973192.4564669412,3.973702629844499e6,1.297649341397103e6,0.38468466616633235
