Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
1.335957478425251e6,0.0006898765595812275,0.9526467470771625,-17.859124109112173,3.561012544414931,84.30710034014518,0,1.1164119862765693e6,1.0410909162490527e6,7.644304426679396e6,7.826512237993611e6
1.1586104395550597e6,0.000634380787658086,0.9966534735351523,-17.779554743374774,2.9984539684038,106.51098363446802,0,1.0297953172968442e6,789309.326866145,7.922549076483629e6,8.458744747318944e6
1.2807852100228646e6,0.0005679095980822534,0.994791632333521,-17.85528742753352,2.920105010400566,116.99987650321451,0,1.142638222394724e6,839916.455639034,7.842462610708849e6,8.390395314453956e6
1.2645440106381788e6,0.0006917175919536626,0.9765931604542746,-17.95149055571983,3.6787041407027803,88.37624692342165,0,1.2770591467015073e6,1.0159604669244287e6,6.752310404378211e6,8.14868724022232e6
1.2971891625646497e6,0.000774551699732989,0.8776852372789868,-17.804815423475127,3.5473643797702445,83.07262731295643,0,1.3221079898886897e6,933392.2436406115,7.9997964499737825e6,8.191635283706239e6
1.1594706440917854e6,0.0007840395772022935,0.9872161222748099,-17.79879180407004,2.830938485615789,107.01230910557061,0,1.0185082920441494e6,992268.6405149105,9.111894121509744e6,8.354369483927523e6
1.249304171439909e6,0.0007966419893368128,0.9611132917862857,-17.86013929369348,3.127204091494714,92.97750413920751,0,1.2014817721178909e6,990883.5447497948,9.246244956304513e6,8.744864728976185e6
1.333295680987855e6,0.0006466204084576424,0.9621706819174458,-17.888852241832023,3.1746316166673543,98.55938322807603,0,1.120551072780338e6,1.0707594940207337e6,8.639863929089023e6,8.359945569296751e6
1.3141735280000106e6,0.0007049837535630477,0.9549102602518558,-17.698629091406946,2.948962195478689,83.74144491386039,0,1.3911926096257172e6,1.0402343298814209e6,8.175876949014376e6,7.266100542558167e6
1.4245419973018966e6,0.0004208693222759164,0.9745554237962534,-17.842855057399724,3.1716453021079523,102.8872733207551,0,974713.5245591048,862056.5969314448,9.31252498147029e6,8.146640559377265e6
1.1059975820146294e6,0.0009791694909448583,0.942008134685537,-17.9674287432351,3.5550478112548594,89.82578887530929,0,1.3404834065179233e6,1.1579013985228976e6,8.307083948217466e6,9.08931573100056e6
1.4627913109813451e6,0.0006499457597725302,0.9032008062111349,-17.992891947881198,3.5364838276485075,92.90926652049153,0,1.2195173355762074e6,946653.6417619949,8.900639127057351e6,9.230369423499646e6
1.3017132632114012e6,0.0006202140943816866,0.9654212502571199,-17.863731950711106,3.297905328723036,98.826113396696,0,1.2032363100782977e6,954029.1480724511,9.478345026376229e6,9.540373204327462e6
1.251754953249908e6,0.0005829951668879849,0.9533359443075621,-17.5991270999508,2.8578613561339523,89.31343099129563,0,980041.0157016413,953114.7693137826,9.237194201322507e6,7.114733325313365e6
1.302427074349442e6,0.0006395630604043477,0.9701486461590594,-18.07994196317408,3.500913684645263,118.24355243768308,0,1.0811356075731188e6,793169.0474698048,8.787255576826755e6,8.99267861969192e6
1.0526771505186765e6,0.0010438041615740995,0.9504369472974133,-17.7059755921194,3.144891289071366,81.67536337299694,0,1.054619272853287e6,1.0355717702859617e6,8.80469196474975e6,7.920785609124435e6
1.078782276360209e6,0.000918310506474028,0.967619242806532,-17.860925941739886,3.061514888571185,95.94229631040237,0,1.4139211842214027e6,1.0004643974001514e6,8.1720244422313655e6,8.335556633759232e6
1.151750091215747e6,0.0011373133348917526,0.9046829894585491,-17.899186173515545,3.1721987587565654,92.33260488237107,0,1.3345986440406083e6,971243.9713865314,8.50961948280859e6,9.041906419686738e6
1.4255777538353454e6,0.0005055315670834612,0.9985769091630653,-17.7599234316726,3.3440647391455083,80.62757483510416,0,1.134751661030891e6,958455.7944998525,8.651707097880032e6,8.185749810027263e6
1.3476837901852785e6,0.0004932956595369757,0.9979170627876851,-17.769311687282908,3.368721433614003,77.87423758396912,0,1.144389786837256e6,965368.2196973555,9.102760434938697e6,8.509299386640336e6
1.3380920395669213e6,0.0005602925005163564,0.980917355902594,-17.729282106374036,2.87067401891643,89.7196288085719,0,1.3695831780382069e6,1.0328213735388402e6,7.332511918998868e6,7.503347752399016e6
1.3080262497341263e6,0.0005365216760930854,0.9786179769871491,-17.84127636734965,3.197541755605621,89.12095012672576,0,1.0958188429937593e6,989063.5226748318,9.301469078141488e6,9.264086274653742e6
1.1099364960468651e6,0.0008018310984624813,0.9827348450416231,-17.893050401299156,3.008486830464833,105.9860768593872,0,1.1670186564422727e6,845605.4502396177,7.550789081485917e6,9.08302596616214e6
