Kr,μ,ϵ,ϕ,η,β,Rper,N0_rep1,N0_rep2,V0_rep1,V0_rep2
2.513110739769083e7,0.006149899431897707,0.7972605601249254,-18.6494623956847,0.8074664970393717,114.162504907359,0,825610.533260754,1.1627023440164102e6,3.444992355460723e6,1.4667217066872278e6
2.6124539620561145e7,0.00632473015984619,0.8956471218106872,-18.67972053638902,0.8598207929067241,100.0304988492755,0,842191.0383542201,1.123934418656397e6,3.519135491100935e6,1.3969953997415286e6
2.080224746141272e7,0.0075411450489916805,0.9582686298174541,-18.702298194290456,0.8739228125888662,103.88008586065762,0,1.0311454691122934e6,1.0745942748529084e6,3.5390899451356973e6,1.3877722548969858e6
2.368606177022281e7,0.011101195160615208,0.8118245377427299,-18.513130427652975,0.8071834684044539,99.88975397723307,0,852703.470490429,1.2482426709491936e6,3.345955219997392e6,1.1729714429828092e6
2.5028009560253527e7,0.011752432180015596,0.7717628050319925,-18.59479591980228,0.7213373142560309,104.43757903996817,0,972850.916776885,1.3242206041968782e6,3.924585602654813e6,1.4120218415988188e6
2.4712847625937972e7,0.010082612884869231,0.7558820915680136,-18.50664285787319,0.743270053273803,100.83894303224847,0,983078.1682173624,1.2969899011275405e6,3.7960965815417836e6,1.3731309515693067e6
2.962388572590096e7,0.005805647934094931,0.773197662317612,-18.668116239739646,0.8034018609405238,111.7864211448928,0,1.0331799460029239e6,1.175343816490687e6,3.3365001249240777e6,1.4633287658046116e6
2.6007064305046387e7,0.005447118862094122,0.881787931853339,-18.7114566083956,0.9406593157925867,95.4868141517362,0,847191.2730644258,1.2318162385290044e6,4.7093305898182895e6,1.2508788831702063e6
1.8714675846503586e7,0.013881900927188556,0.8465807594848557,-18.498579869770207,0.6427821967557753,128.18575630360152,0,834232.8947899032,1.0377676697132854e6,3.016715384077016e6,1.2302151907731616e6
2.147724901077621e7,0.01251072531698671,0.898087327596122,-18.71505290969443,0.7449065631211592,138.90054032469675,0,916629.4256159905,1.0290543018904815e6,3.3430815867746747e6,1.1846930514594973e6
2.2481521596854232e7,0.0065843040272686665,0.8130565313220854,-18.581941961548367,0.7512800902219919,120.0023241078735,0,915366.1189996599,1.0565730066242074e6,3.136573224737127e6,1.205305909000762e6
2.143159557357385e7,0.004243040492373678,0.9734944793245398,-18.46137606858633,0.6815099128314059,104.35824406213317,0,947530.3101871584,1.1439724662739327e6,3.7074716786551755e6,1.376112160377105e6
2.4184470884710047e7,0.009113018456272975,0.846788348158469,-18.879621602135302,1.1021374730442326,100.39388420080593,0,929554.8125348001,997168.7090786892,2.9690411609987975e6,1.6486517538689703e6
2.3094874650622196e7,0.008403089770701295,0.8731986799604741,-18.93085695403886,1.1106373158426168,93.83732603522141,0,866696.9634790848,1.016838586009189e6,3.2065217214983846e6,1.8348529326283261e6
2.0212958898422357e7,0.012296182529175989,0.8913748072006145,-18.72632113723791,0.9309228304998668,97.76332854484912,0,984182.830451841,1.1803671605076622e6,3.809372630158241e6,1.4210010901527822e6
2.1273537202569727e7,0.008552480370140983,0.8815749277958421,-18.42606081950118,0.6901881623992532,101.87483435836039,0,988492.8288229549,1.2337455465827347e6,3.1643633263324997e6,1.231726262615765e6
2.191024104983372e7,0.007653067885741567,0.8387756534810024,-18.466043770805598,0.7278703751418552,104.91975386054042,0,928719.0858410002,1.207709988972758e6,3.2429354696595804e6,1.1518222820670735e6
2.5002746338964816e7,0.002783221545210209,0.9963786602427775,-18.40058436152822,0.6889038918072774,104.99882194149372,0,967946.3986193037,1.067245931388665e6,3.116024539653328e6,1.6264035096449952e6
1.7967911836491346e7,0.01678036728645566,0.8111402493603709,-18.712656121292607,0.9672960216153401,99.8399184263702,0,910050.5284331718,1.2564899484753273e6,3.1390641854163078e6,1.0827033783364857e6
2.48731340898647e7,0.002370782515722299,0.9778474569616776,-18.353142756357343,0.627869737823066,123.49489684911455,0,914205.2898396929,1.027233796887974e6,3.4111209831191846e6,1.2157319489370603e6
2.091189001702755e7,0.0075417125030701115,0.9968236611466786,-18.48975854031185,0.5937948237715314,113.41963778688189,0,867451.5675487758,1.1931089212197477e6,3.6521861546826544e6,1.3393987456448644e6
2.1123656292935695e7,0.005008273055132546,0.9990536093628795,-18.379884878355234,0.6031941614750884,109.13358554932542,0,919585.9579615375,1.2138915246741003e6,3.5069888545656777e6,1.4213548522942709e6
2.414078738174429e7,0.003439813038006863,0.9974259646269289,-18.542410843849886,0.7361646224457881,114.51475340445346,0,811389.7337183087,1.0517427122476376e6,3.0355001837933008e6,1.2841836630643446e6
2.603237433314428e7,0.003715472081780637,0.998326515417189,-18.493039892367435,0.7874684926049014,101.0538944267539,0,812330.1964363091,1.0125328717467969e6,3.039048853375645e6,1.4160926516797135e6
2.1505831024420552e7,0.0038215364275727376,0.9987138643787957,-18.72228114139442,0.78494163578838,110.43077152906928,0,873262.5411501436,1.126964030025379e6,3.6606872764623347e6,1.632759850907285e6
2.4222608979057044e7,0.006021077764691179,0.984932001870279,-18.681448799618444,0.8902334010575217,85.73790817087861,0,1.0873956399104104e6,1.092377581632039e6,3.4399365675484557e6,1.9257059430436091e6
2.001299770877923e7,0.006578034116479664,0.9190007665528214,-18.65997889070042,0.8207802277638885,108.80841202740862,0,971093.2426628922,1.1221648866044453e6,3.7519670955145224e6,1.430216208724704e6
2.639681064407242e7,0.0045035644463048115,0.9539969364391261,-18.62228919700985,0.8515129018839792,92.48976267400808,0,939956.5808390919,1.3030630764360605e6,2.8995227226285236e6,1.331197690344932e6
