DATE;TIME;STRAIN;SALINITY;REPLICATE;CONTROL;POPULATION;PLATE;WELL;DILUTION;FLORATE;COUNTS;CONCENTRATION
28/03/2023 10:04;6;RCC1116;40;2;Yes;Host;7;D12;200;48;24474;101975000
29/03/2023 10:22;7;RCC1123;5;1;Yes;Host;9;D1;250;52.53;11838;56339234.72
29/03/2023 10:22;7;RCC1123;10;1;Yes;Host;9;D2;250;52.53;18372;87435751
29/03/2023 10:22;7;RCC1123;25;1;Yes;Host;9;D4;250;52.53;28435;135327431.9
29/03/2023 10:22;7;RCC1123;35;1;Yes;Host;9;D5;250;52.53;27903;132795545.4
29/03/2023 10:22;7;RCC1123;40;1;Yes;Host;9;D6;250;52.53;24528;116733295.3
29/03/2023 10:22;7;RCC1123;5;2;Yes;Host;9;D7;250;52.53;38696;184161431.6
29/03/2023 10:22;7;RCC1123;10;2;Yes;Host;9;D8;250;52.53;15527;73895869.03
29/03/2023 10:22;7;RCC1123;25;2;Yes;Host;9;D10;250;52.53;32511;154725870.9
29/03/2023 10:22;7;RCC1123;35;2;Yes;Host;9;D11;250;52.53;30167;143570340.8
29/03/2023 10:22;7;RCC1123;40;2;Yes;Host;9;D12;250;52.53;28020;133352370.1
29/03/2023 10:22;7;RCC1108;5;1;Yes;Host;10;G1;250;52.53;8900;42356748.52
29/03/2023 10:22;7;RCC1108;10;1;Yes;Host;10;G2;250;52.53;12257;58333333.33
29/03/2023 10:22;7;RCC1108;15;1;Yes;Host;10;G3;250;52.53;13749;65434037.69
29/03/2023 10:22;7;RCC1108;25;1;Yes;Host;10;G4;250;52.53;19682;93670283.65
29/03/2023 10:22;7;RCC1108;35;1;Yes;Host;10;G5;250;52.53;23136;110108509.4
29/03/2023 10:22;7;RCC1108;40;1;Yes;Host;10;G6;250;52.53;20112;95716733.3
29/03/2023 10:22;7;RCC1108;5;2;Yes;Host;10;G7;250;52.53;7600;36169807.73
29/03/2023 10:22;7;RCC1108;10;2;Yes;Host;10;G8;250;52.53;11386;54188083
29/03/2023 10:22;7;RCC1108;15;2;Yes;Host;10;G9;250;52.53;14665;69793451.36
29/03/2023 10:22;7;RCC1108;25;2;Yes;Host;10;G10;250;52.53;26896;128003045.9
29/03/2023 10:22;7;RCC1108;35;2;Yes;Host;10;G11;250;52.53;29469;140248429.5
29/03/2023 10:22;7;RCC1108;40;2;Yes;Host;10;G12;250;52.53;26770;127403388.5
29/03/2023 10:48;7.03;RCC4221;5;1;No;Virus;10;F1;700;9.11;40205;3089297475
29/03/2023 10:48;7.03;RCC4221;10;1;No;Virus;10;F2;700;9.11;10961;842228320.5
29/03/2023 10:48;7.03;RCC4221;15;1;No;Virus;10;F3;700;9.11;8091;621701427
29/03/2023 10:48;7.03;RCC4221;25;1;No;Virus;10;F4;700;9.11;6406;492228320.5
29/03/2023 10:48;7.03;RCC4221;35;1;No;Virus;10;F5;700;9.11;5733;440515916.6
29/03/2023 10:48;7.03;RCC4221;40;1;No;Virus;10;F6;700;9.11;4361;335093304.1
29/03/2023 10:48;7.03;RCC4221;5;2;No;Virus;10;F7;700;9.11;53330;4097804610
29/03/2023 10:48;7.03;RCC4221;10;2;No;Virus;10;F8;700;9.11;13895;1067672887
29/03/2023 10:48;7.03;RCC4221;15;2;No;Virus;10;F9;700;9.11;8357;642140504.9
29/03/2023 10:48;7.03;RCC4221;25;2;No;Virus;10;F10;700;9.11;5080;390340285.4
29/03/2023 10:48;7.03;RCC4221;35;2;No;Virus;10;F11;700;9.11;6142;471942919.9
29/03/2023 10:48;7.03;RCC4221;40;2;No;Virus;10;F12;700;9.11;4386;337014270
29/03/2023 10:57;7.03;RCC1116;5;1;No;Virus;11;F1;2000;8.8;214;48636363.64
29/03/2023 10:57;7.03;RCC1116;10;1;No;Virus;11;F2;2000;8.8;61;13863636.36
