c,σ
7.586428497386607e-9,3.7245979147593612e-9
5.493010474920903e-9,4.757745571659497e-9
2.1647866400029773e-9,8.432785408037517e-9
1.653135296969607e-9,4.6314545441526184e-9
1.9344444436286752e-9,3.5344773279980636e-9
2.5150836488621828e-9,2.1948773292719153e-9
2.5150836488621828e-9,2.1948773292719153e-9
4.248669606790691e-9,4.071176211604377e-9
4.151418014471815e-9,3.757279963281288e-9
4.151418014471815e-9,3.757279963281288e-9
4.187971936717358e-9,3.75658242003877e-9
4.262775138594625e-9,3.3974364920024108e-9
2.712177352938516e-9,4.2077307142972616e-9
2.285574324358577e-9,2.961506455829491e-9
2.8208985593058448e-9,2.1918678730590723e-9
2.8208985593058448e-9,2.1918678730590723e-9
2.9384689423028852e-9,2.167832807387229e-9
2.218116569736305e-9,3.987121544302536e-9
2.2080704010838568e-9,2.1034688080427234e-9
3.5781173017850665e-9,7.607199725005232e-9
6.395829433842149e-9,3.3928366629154763e-9
6.395829433842149e-9,3.3928366629154763e-9
6.882139849995969e-9,4.4220721399133154e-9
5.514128806045536e-9,2.757512397620644e-9
1.2120812669990422e-9,2.337618893768698e-9
2.5397784471098384e-9,2.301235707607957e-9
2.5397784471098384e-9,2.301235707607957e-9
2.5397784471098384e-9,2.301235707607957e-9
2.4520733426290354e-9,3.808189743557833e-9
2.3349981145648967e-9,4.026798021214238e-9
2.6500475177007606e-9,4.551600229965631e-9
6.979919619352929e-9,3.868164939042052e-9
6.979919619352929e-9,3.868164939042052e-9
6.979919619352929e-9,3.868164939042052e-9
5.868379030608753e-9,5.625641772229181e-9
7.592486693734745e-9,4.159708567435206e-9
7.592486693734745e-9,4.159708567435206e-9
4.07562211020733e-9,4.008291550563655e-9
2.2622070687637382e-9,3.1110705407944884e-9
3.6714358185564973e-9,1.920766307710962e-9
2.8078509674052245e-9,2.4244374039019482e-9
4.2655505420061354e-9,3.197747950366699e-9
4.2655505420061354e-9,3.197747950366699e-9
3.20655817221029e-9,2.211950847178956e-9
