a,b,σ
1.0272565693824163e-10,1.1940032094688465e-9,1.5571046502091598e-9
1.0272565693824163e-10,1.1940032094688465e-9,1.5571046502091598e-9
4.278400383967238e-11,1.0010070165075237e-9,3.0791054728887174e-9
1.2412204695672647e-10,6.883984112155017e-10,3.2519491987764877e-9
3.388326915843403e-11,1.2840880149405598e-9,1.52727225787799e-9
6.807601109546099e-11,1.449326599588478e-9,1.7701826292054793e-9
1.9623073715026626e-10,6.356343514696114e-10,5.266660805969461e-9
1.0403040510009609e-10,1.4521175579927855e-9,3.4440187537116077e-9
1.3034977991776126e-10,1.1173203053234457e-9,4.426172927554816e-9
1.1082768972623396e-10,1.1447078186019503e-9,4.683803847238337e-9
1.8367811514151947e-10,7.876128284852053e-10,2.9816993197897063e-9
7.344402036920062e-11,1.0618841542320373e-9,1.1788204437694353e-9
6.105275827359852e-11,1.083919084303625e-9,1.3921529019184214e-9
1.0846114158592709e-10,8.254712851605425e-10,2.9050438159599955e-9
1.715168148238455e-10,7.630857534904383e-10,3.6275351615136003e-9
3.0901567531977886e-11,1.6942344950166006e-9,2.8043599571083113e-9
1.3622830713018568e-10,3.4536316650347756e-10,3.0356768919928485e-9
2.6093838044725403e-11,6.45844205949774e-10,4.706672884021401e-9
2.951535012190521e-11,5.73075071434453e-10,4.256777949589648e-9
2.0306127476942905e-11,8.116450977721231e-10,4.196767124489149e-9
2.1606265434823958e-11,7.220026790131019e-10,1.5361191407799916e-9
6.257816125556216e-11,1.315981614035182e-9,2.6874451841796145e-9
5.86434353547134e-11,1.3812951119600335e-9,2.1317121089090273e-9
1.4912871246250016e-10,7.849240705407451e-10,1.8916658869208636e-9
4.048709670803496e-11,9.64694973337126e-10,1.9332000001618097e-9
5.370268599685153e-11,1.0774015048901523e-9,2.5420498980227806e-9
6.998184200414502e-11,1.3013892303836005e-9,1.5967181607754602e-9
1.3146716193234714e-10,7.28692632379775e-10,2.7345304333225336e-9
4.869513342082127e-11,8.627356690037041e-10,1.3738913180400416e-9
1.0101793007124187e-10,1.0496001066268491e-9,1.2038464365785523e-9
4.1981596678963816e-11,7.534380526218441e-10,3.623532155914727e-9
1.9466183327891237e-11,7.35675142859996e-10,3.279360917350195e-9
2.0276562960954257e-11,9.611988909625547e-10,3.0431007147838816e-9
1.4620454121133612e-11,1.1176232460706612e-9,3.0928310034080055e-9
6.031489414181785e-11,1.2013825744988798e-9,1.405924311208516e-9
7.836050732768722e-11,7.622697298467083e-10,1.8589809064094216e-9
9.617057375225518e-11,7.029458060832632e-10,1.819035842449727e-9
9.617057375225518e-11,7.029458060832632e-10,1.819035842449727e-9
8.11136889705574e-11,1.0083886878862696e-9,1.1637183545634073e-9
7.666793545666947e-11,9.054510695560059e-10,9.539755176270677e-10
9.880544722352737e-11,8.503061729038813e-10,3.80496707179874e-9
1.8835827211894565e-10,8.640501829599402e-10,3.6150860187929746e-9
7.261942732980145e-11,8.754233799557696e-10,2.293532386982694e-9
8.26799006909907e-11,9.331409057161293e-10,2.4048764678035086e-9
8.082115284869462e-11,1.440931015878629e-9,1.929788339337536e-9
8.293141429986795e-11,6.627995080345569e-10,1.4190169594734431e-9
7.152661896149e-11,5.855997139733178e-10,1.2104368088194409e-9
1.118830062952897e-10,6.61231423588572e-10,8.906404149281458e-10
1.118830062952897e-10,6.61231423588572e-10,8.906404149281458e-10
1.118830062952897e-10,6.61231423588572e-10,8.906404149281458e-10
1.0612221712030285e-10,7.071853349386018e-10,8.835692270252247e-10
5.141326444484102e-11,7.195755221788869e-10,3.87340922962556e-9
1.2967302091849677e-10,9.073054189068467e-10,2.2080556967690145e-9
7.328353552409058e-11,7.160038850780276e-10,2.493091853698119e-9
9.504028794560777e-11,8.876821054952659e-10,2.857771464767144e-9
7.672278987393536e-11,9.790414655134845e-10,1.3128950567492745e-9
7.672278987393536e-11,9.790414655134845e-10,1.3128950567492745e-9
6.11024191952528e-11,1.1702849370790208e-9,1.1872532119335587e-9
5.357378163810723e-11,1.0845603535214834e-9,1.1090847289029536e-9
3.9264766206485193e-11,8.649013008337833e-10,1.6280895616814977e-9
5.283630270751156e-11,8.585029657643405e-10,1.9142847214038385e-9
3.6145565789227445e-11,1.0326173747068485e-9,1.6878116541185377e-9
2.1334199416215658e-11,1.0116645902709866e-9,2.084748967603177e-9
1.4624583766909966e-10,9.612483003689844e-10,2.673718933008208e-9
1.4624583766909966e-10,9.612483003689844e-10,2.673718933008208e-9
