a,b,σ
1.4025310027005807e-9,1.0221406921163533e-9,1.829053964929292e-8
1.4025310027005807e-9,1.0221406921163533e-9,1.829053964929292e-8
1.5228357150270647e-9,8.612776868783534e-10,1.524520120140425e-8
1.5228357150270647e-9,8.612776868783534e-10,1.524520120140425e-8
1.5109343722141213e-9,8.775165317734322e-10,2.5402876886417444e-8
1.507360030912031e-9,8.790500504448646e-10,1.3151397901796697e-8
1.821377771359406e-9,8.467596975968048e-10,2.5549008153202798e-8
2.1814267702258024e-9,1.0745572334568518e-9,2.536538986089418e-8
1.3094356655443791e-9,1.0877369954410276e-9,1.5314981284534582e-8
1.3094356655443791e-9,1.0877369954410276e-9,1.5314981284534582e-8
1.3094356655443791e-9,1.0877369954410276e-9,1.5314981284534582e-8
1.3267105872555897e-9,9.426859093667982e-10,1.5887383487307112e-8
1.327419311568377e-9,9.224336669119509e-10,2.3323562708759722e-8
1.7679318488043024e-9,9.686785418067173e-10,1.6189214303178068e-8
1.7679318488043024e-9,9.686785418067173e-10,1.6189214303178068e-8
1.7255767555473161e-9,1.2016143623866009e-9,1.07625347243636e-8
1.8403346051169602e-9,1.0598492402332454e-9,1.1382052860337849e-8
1.6844652450674013e-9,1.3875203066418336e-9,1.4302525031088349e-8
1.7107497641110284e-9,1.2080911978019351e-9,1.1797053888618819e-8
2.0617947178235597e-9,1.1176882161309688e-9,1.1775457971936635e-8
1.64310709681593e-9,8.11738465366354e-10,3.68536053747671e-8
1.4535245564047453e-9,5.808252589188888e-10,2.0384448140078828e-8
2.1005875549452204e-9,6.506970206563153e-10,2.0616883851513822e-8
1.3210315696673128e-9,9.008433449838924e-10,1.615818769080636e-8
1.0680147351444117e-9,9.99005588475986e-10,1.3167291773035219e-8
1.772271514972149e-9,1.0729210125635568e-9,4.207401586497523e-8
1.8502781835715503e-9,1.3782643722119422e-9,1.981083584015917e-8
1.4387339918543957e-9,1.6527647389589655e-9,1.5820326188762196e-8
1.441590870011421e-9,1.8122370037291786e-9,1.6271589389013162e-8
1.376076525929529e-9,1.58941066274121e-9,1.6033392031210684e-8
1.4581596388235758e-9,6.609323800263845e-10,1.685340481027241e-8
1.6209647791009944e-9,6.084122550193702e-10,1.3347999311933973e-8
2.1106758728787097e-9,8.784167399396722e-10,2.298927962638686e-8
1.479620527616167e-9,1.386669967594025e-9,3.096678794461643e-8
9.35067291005776e-10,1.0503782784123114e-9,2.2367153250418128e-8
1.7581405658075545e-9,9.717503814625423e-10,1.3441908337598374e-8
1.4212225361295679e-9,9.638752612638538e-10,1.3169574985422015e-8
1.9072335689251804e-9,6.367174786170112e-10,1.866146564672116e-8
1.551173297659346e-9,1.0586483801714097e-9,1.0260982845986374e-8
1.5585661956030606e-9,1.0775703239151898e-9,1.4134681462001998e-8
2.300014671716721e-9,1.0627980678479566e-9,3.306382588824353e-8
2.159819812787818e-9,1.395929131725681e-9,2.5344767910575868e-8
1.5584820399056714e-9,7.609924798802784e-10,1.1903158555096153e-8
1.5584820399056714e-9,7.609924798802784e-10,1.1903158555096153e-8
1.6143406315750306e-9,5.177785293092909e-10,1.3497288666407157e-8
1.4700941254147958e-9,4.759387032992066e-10,1.5879858412200916e-8
1.7809407991646532e-9,7.491805112436931e-10,1.0612920913006856e-8
1.5587948447876573e-9,8.564594625956327e-10,2.647365062031049e-8
1.7007673701774677e-9,1.7241986624249955e-9,1.3898574906325198e-8
