a,k,s0,σ
0.49225264384913153,5.969201977832314e-9,19.7622517634072,1.1810281276540262e-9
0.5453184594924193,6.117742518610425e-9,17.89028817817761,1.0924231616403617e-9
0.22567366860031704,4.816986342356374e-9,24.877641223123383,1.317897532627673e-9
0.1794178680171764,4.358588834194422e-9,15.68050804406675,9.796222542057135e-10
0.28037093061089957,4.4298746460170116e-9,18.329129780167463,1.2721913364502254e-9
0.300153571029537,4.683014076629411e-9,17.875415180962303,6.41100221590247e-10
0.5034560841969208,4.8687108347016876e-9,19.558197568773814,6.057822842418436e-10
0.39075470906548876,4.497353174051811e-9,17.991423207942987,8.747593638966632e-10
0.3870108795652821,4.458277431971974e-9,20.062786264579607,6.991449660511007e-10
0.6860027858347415,4.200333918179194e-9,19.7580666755423,2.9620464520032834e-10
0.8239961267850139,4.656914789181035e-9,17.273506382901715,5.15499372850562e-10
0.8396582637673594,4.355661628622166e-9,21.61342086352102,4.639493657263894e-10
0.9086911288256805,4.546450944660216e-9,20.8343647856115,4.739914240021761e-10
0.8307454634799025,4.588390803458801e-9,20.816144681059434,5.363950783752289e-10
0.9195474611828942,4.46466796944879e-9,18.140517843342877,5.646102863865139e-10
0.9673771543524634,4.3217192046563655e-9,17.70880508531923,3.9305035132120856e-10
0.9709403512862507,3.985250083732675e-9,18.450094442438996,4.0316166784679264e-10
0.8821976888070484,4.887122795703008e-9,17.782569966164935,5.799480747603245e-10
0.9098466065834738,4.174927673493726e-9,19.801411174497385,7.305634867941923e-10
0.9206246875725337,4.314485292293789e-9,19.79006361390238,7.146607652247456e-10
0.9146671815001327,4.1527704091254925e-9,15.840802047396298,5.85449392205903e-10
0.873934426507631,3.926554409321441e-9,19.72106202394391,6.340781944418896e-10
0.143650112189479,5.124569954260558e-9,18.979871200637113,1.1990554226848203e-9
0.1690144305157865,4.341391932970857e-9,21.35477727810247,1.219279256354372e-9
0.27720163810820414,4.8316055726170054e-9,30.748464070666504,2.4029647369054137e-9
0.26346147932653635,4.340556727429004e-9,31.208162176377467,1.5162855278652572e-9
0.1515685377828638,4.1083786033489145e-9,10.835047886181773,3.9970166259419305e-9
0.11400815103922456,4.002812192563486e-9,10.413352735254632,4.510121312262078e-9
0.341078728739511,5.149077641200654e-9,22.60751713693318,4.815987047366021e-10
0.6404753178009776,4.7246122449303694e-9,19.53674050293771,8.690147243084112e-10
0.7027525673467155,4.70851481793858e-9,17.852865213696848,6.588127727219563e-10
0.8221729300419637,4.6063634623058296e-9,16.704617547603355,5.513410484877258e-10
0.8221729300419637,4.6063634623058296e-9,16.704617547603355,5.513410484877258e-10
0.8221729300419637,4.6063634623058296e-9,16.704617547603355,5.513410484877258e-10
0.9619289203909621,4.259863907323151e-9,21.837807272201374,4.967737267778488e-10
0.963648286851415,4.998902183650344e-9,21.83520590698008,4.926398948667197e-10
0.20273014158201363,8.690299915062886e-9,25.42798175987695,2.4340492330230796e-9
0.1429301441835594,7.758687417494196e-9,26.578105843020005,2.785523229075585e-9
0.11103443862880791,7.206145254453294e-9,27.690114040242854,1.6664553743767775e-9
0.1161775987637685,6.155199534555856e-9,29.00240068904847,1.9236384484801083e-9
0.10513910744146625,6.971016688298401e-9,25.442631112273034,2.5264494034592754e-9
0.07929481329616178,7.017414000014163e-9,23.81314874347146,2.1501098133958687e-9
0.1308364363665365,7.207623401945918e-9,29.73647203947411,1.1935970588954414e-9
0.1354550653910605,5.648707844092457e-9,29.52075126703727,1.580299397341097e-9
0.15318493075933384,5.767152986631387e-9,30.734354012541555,1.5953548428161349e-9
0.10886495987958407,5.682505437207242e-9,31.430799561552128,1.7657294887886249e-9
0.1655954485066793,7.508301546963588e-9,32.843375770133676,3.7211688734457925e-9
0.0851133884126567,7.027967665486887e-9,30.914438247197857,2.192427496729656e-9
0.09584127167241366,6.39113509870603e-9,31.99758965912645,2.7361855986227535e-9
0.21806810297618046,7.379251435145955e-9,19.02452078483144,1.5946546986069866e-9
0.24245632603147596,6.784903543480597e-9,21.261644922785788,4.358879380445547e-9
0.10083906771950514,8.35658015969985e-9,22.962317551184015,4.542777061608536e-9
0.11990711827252434,8.22798820368484e-9,21.538642132149235,1.8051065182987155e-9
0.13264072366062485,6.61304255353336e-9,29.730939934676016,1.940281838199382e-9
0.11541458374924489,7.239776544144518e-9,31.858728689407794,1.057263380769471e-9
0.3289038787095239,5.0427294277286565e-9,16.714315158701815,1.1601055890068245e-9
0.559926926738091,4.237200089991686e-9,19.26823959458044,3.734338381949902e-10
0.6347179488793891,4.278975699872151e-9,18.711394609757615,3.0019625127265765e-10
0.6969722630650497,4.359916614758144e-9,19.17994252233224,3.8395048996309215e-10
0.6669822658031708,4.24034558870813e-9,19.16813349322349,2.987209746476375e-10
0.6165676986175543,4.713090797320875e-9,18.83194070324835,5.390471540932803e-10
0.5681932976260555,3.949216630137501e-9,17.648573361410936,4.710066069310808e-10
0.4809869034719194,5.06682763189549e-9,20.15025624409291,1.0587284943610641e-9
0.5781998416680563,3.887614874299276e-9,20.084554707902008,7.390803139142005e-10
0.16154709404021228,5.8521888617859645e-9,19.44752766186088,1.0323068861037917e-9
0.5132779358345729,4.709967750775543e-9,21.477276476559634,1.1005517711729904e-9
0.6656299496693651,4.1819136252499e-9,17.562607919071063,3.145746312344327e-10
0.892972224366531,4.973118624372146e-9,20.080309668137016,6.458616611594053e-10
0.6931535177401419,4.415775002022271e-9,21.140138746379375,3.7011541997462554e-10
0.6892051058652564,4.7161839924256856e-9,18.633136249589654,3.907419860119833e-10
