c,σ
4.0655356632766676e-8,2.781707354739579e-8
3.518518689652963e-8,2.2367021032812178e-8
3.699523460720589e-8,2.3352956366604403e-8
2.320757112231091e-8,1.9133617892299634e-8
4.8704578942174774e-8,2.8902588708053428e-8
4.5551709492546264e-8,3.0490614499205995e-8
2.8871917542261866e-8,1.432618223900642e-8
2.8053590153892515e-8,2.4849862708048085e-8
3.730928769102738e-8,2.269070521233745e-8
3.226618643040488e-8,1.7352788396238772e-8
3.226618643040488e-8,1.7352788396238772e-8
3.59979733886024e-8,2.277581177837785e-8
3.5730755194982196e-8,2.476665678509191e-8
4.033488401481783e-8,1.4781447382091924e-8
4.008612045359328e-8,3.145040982054426e-8
2.9228929639568377e-8,1.7605571293476754e-8
4.878239577368177e-8,2.4570909253716288e-8
3.52871571484879e-8,2.1693223755429344e-8
3.483819780123887e-8,2.313583502551558e-8
3.845684999222108e-8,3.023208893359754e-8
2.887111454648413e-8,1.726621062570274e-8
4.251715724138448e-8,2.395534409669901e-8
3.69388099177273e-8,3.434864569259167e-8
4.217863453560462e-8,1.96710589713418e-8
4.208287697133191e-8,2.300808784143699e-8
3.6893594479107374e-8,1.2782389138936104e-8
2.669234369731348e-8,1.470684415048664e-8
2.2093524191261472e-8,2.0278069689405976e-8
6.51481256293696e-8,1.616620966486648e-7
7.84722051503479e-8,1.7605810904324519e-7
9.36837993147688e-8,5.9502074942821444e-8
3.96863413507232e-8,6.804472521468812e-8
4.898821629762845e-8,3.066474113232501e-8
4.898821629762845e-8,3.066474113232501e-8
4.0023943558523976e-8,4.3302422661154566e-8
5.284684223652782e-8,2.5318461427333204e-8
2.2596386906827733e-8,3.699896585900843e-8
1.577625709921267e-8,2.1273658109204916e-8
1.3073642413512217e-8,4.163852688713928e-8
1.7569598935841684e-8,3.7249069150131326e-8
3.140563631829209e-8,1.7711604741667822e-8
3.4692035024233876e-8,1.7968061337564462e-8
3.053683129898939e-8,2.204950158978085e-8
3.255630873251033e-8,2.5323790616285153e-8
2.9051309730473004e-8,2.189101389588005e-8
3.7876253238317033e-8,3.007197086523944e-8
4.0874346055905416e-8,1.399628363234193e-8
3.202806000887056e-8,2.796573183453815e-8
2.6699725013118415e-8,2.4273001711043275e-8
3.900468307000433e-8,3.452708181531203e-8
3.2751193240023473e-8,9.479784916407105e-9
6.030216427332253e-8,1.144301434172551e-7
5.729894248384176e-8,4.8620470785184235e-8
4.125036056241688e-8,3.3561085351661235e-8
2.9450944061409113e-8,2.1428275483680036e-8
4.013865295537027e-8,1.5663180629385695e-8
4.013865295537027e-8,1.5663180629385695e-8
4.013865295537027e-8,1.5663180629385695e-8
4.013865295537027e-8,1.5663180629385695e-8
4.3971042552415344e-8,1.9953499392425286e-8
4.3971042552415344e-8,1.9953499392425286e-8
4.3971042552415344e-8,1.9953499392425286e-8
4.1513318084953134e-8,1.997626235553391e-8
2.7028185179435498e-8,6.954031039665235e-8
1.934782825634657e-8,3.087008948796588e-8
4.241131603403918e-8,4.524111982854931e-8
2.9781333451685872e-8,1.8279727033503175e-8
2.9781333451685872e-8,1.8279727033503175e-8
6.311822194367124e-8,5.145011306285098e-8
8.292971151781835e-8,4.408067799604912e-8
6.827389628986796e-9,2.576213033320392e-8
2.716391805623657e-8,5.2268542365219004e-8
1.3603342120265221e-8,3.7797441861334016e-8
1.4738916387601953e-8,4.0124185996806675e-8
1.5608829430775307e-8,2.9270537002287e-8
2.446573135842372e-8,2.454387282894485e-8
3.1641338828011724e-8,2.562405050966362e-8
3.01972196803681e-8,2.4686554410326723e-8
4.6117467839726397e-8,1.9019480967408268e-8
3.176060379960502e-8,2.2660392406294128e-8
4.234062354327241e-8,2.2207900564039505e-8
4.3421983120064546e-8,1.8930089344609267e-8
3.9401370511324953e-8,2.0533586451245732e-8
4.020849878137863e-8,1.8253918401934375e-8
2.949706665225239e-8,3.088567022846153e-8
4.9180279220612855e-8,2.9622647084018244e-8
