c,σ
4.523137226456928e-8,2.153622215675645e-8
4.0063091644672394e-8,1.4057317781805234e-8
3.9663106444921926e-8,2.736667846920121e-8
3.997663787114965e-8,1.9467726635813746e-8
3.892774271554581e-8,1.8239838174255388e-8
3.892774271554581e-8,1.8239838174255388e-8
4.0110207124913044e-8,1.8199883284428323e-8
3.442392250570867e-8,2.2371541009360984e-8
4.5506095738199846e-8,2.2176839401935522e-8
4.0851244954672304e-8,1.3087095696564152e-8
4.629264172729036e-8,3.767045159125275e-8
4.209171202487578e-8,1.840881322797568e-8
4.209171202487578e-8,1.840881322797568e-8
3.011708202415278e-8,1.761833969308965e-8
4.495819654102425e-8,3.244312072949199e-8
3.925465903097792e-8,5.2124099385823063e-8
3.61472679294144e-8,4.713317378699295e-8
3.8557769267864405e-8,2.466474980866475e-8
2.3429092211731135e-8,1.7615789867586823e-8
2.9224263693122384e-8,1.5829280911026014e-8
3.1802832175014334e-8,1.6439865040864165e-8
3.3170628553590605e-8,3.9772860519404584e-8
3.2696279878688544e-8,2.5369587052529975e-8
4.215115617178759e-8,1.8621338024790957e-8
4.9248327432579826e-8,1.683916963592096e-8
3.3873282020954965e-8,2.458979781124206e-8
3.3426131597311365e-8,2.025130790166957e-8
4.266111992150369e-8,3.396076682520577e-8
3.8893525856465614e-8,2.4417718639464635e-8
4.26462364385262e-8,1.778212007355935e-8
3.8131058224376656e-8,5.4092901635255134e-8
4.658344706456613e-8,3.691677700634201e-8
3.7325948148844106e-8,1.4074778325929112e-8
4.7869124032838266e-8,2.8041202020663052e-8
4.7869124032838266e-8,2.8041202020663052e-8
3.8220724798657704e-8,2.0556388081953502e-8
4.3272167979038184e-8,3.2069673209132574e-8
1.90897566754697e-8,2.3045551751137782e-8
2.1457764297692823e-8,2.195236586485875e-8
2.4960395165590607e-8,2.142739179505931e-8
4.1894971497519585e-8,3.885750286915983e-8
3.8642436547311295e-8,2.312784248807547e-8
3.52921354394191e-8,2.0049879071243344e-8
3.9267022242637515e-8,3.085387665916389e-8
3.4113715943045226e-8,1.4449107106976713e-8
3.4113715943045226e-8,1.4449107106976713e-8
4.91650738503713e-8,2.987400453678951e-8
4.91650738503713e-8,2.987400453678951e-8
5.233794892103983e-8,3.410952029956432e-8
5.3387448227754815e-8,4.730712098033955e-8
3.0992237669298664e-8,2.770240396713098e-8
2.6285542854071782e-8,2.523335497636297e-8
3.886647092501935e-8,2.474652905094115e-8
3.886647092501935e-8,2.474652905094115e-8
3.470132175657336e-8,1.8597094404292013e-8
3.470132175657336e-8,1.8597094404292013e-8
3.227492629446615e-8,1.980853249096442e-8
2.4651327127880146e-8,3.254081332249772e-8
2.7571808935173136e-8,2.4117675843754827e-8
2.6434817097827924e-8,2.6258428888823518e-8
2.90702536447065e-8,2.3078991666001266e-8
2.0778262822377975e-8,2.2573914547810793e-8
2.48985496116128e-8,3.198909245517698e-8
2.9735609221770775e-8,2.0669165417128304e-8
3.8552182698636314e-8,3.2256539598364076e-8
5.5896685709708634e-8,3.198702511595319e-8
5.5459551145459956e-8,2.9897588313372023e-8
5.5459551145459956e-8,2.9897588313372023e-8
2.9287107374046904e-8,4.78211420358222e-8
4.5909220872126505e-8,4.0972620474083716e-8
4.7268182441015164e-8,2.692674655185854e-8
4.7268182441015164e-8,2.692674655185854e-8
3.326947022433249e-8,4.784273994818356e-8
3.2110560536119036e-8,5.394394684984626e-8
4.496741612488759e-8,1.702069654083576e-8
4.987184077237882e-8,2.1392441390049268e-8
3.3149496867177085e-8,2.239889121029527e-8
3.3149496867177085e-8,2.239889121029527e-8
4.521886231462699e-8,2.0246939099884616e-8
4.521886231462699e-8,2.0246939099884616e-8
4.521886231462699e-8,2.0246939099884616e-8
3.8617716625118346e-8,1.023246797356758e-8
3.89146288474376e-8,1.9593305905276643e-8
3.89146288474376e-8,1.9593305905276643e-8
3.89146288474376e-8,1.9593305905276643e-8
4.591912163051698e-8,1.5215105225469495e-8
4.028442964314688e-8,2.568971019718852e-8
2.511025967627311e-8,3.0069066102849113e-8
4.7880461547183774e-8,3.5804647170445805e-8
3.561561612142078e-8,2.3162188823109845e-8
5.104362948177329e-8,2.4176887499479393e-8
3.328125954860158e-8,1.6714285326201088e-8
3.328125954860158e-8,1.6714285326201088e-8
3.652970526173966e-8,2.5159608716534044e-8
4.251412414490739e-8,1.3720061862067293e-8
3.392886135781042e-8,1.6215522472909814e-8
3.392886135781042e-8,1.6215522472909814e-8
3.877922383061549e-8,1.8419312122616484e-8
3.877922383061549e-8,1.8419312122616484e-8
3.877922383061549e-8,1.8419312122616484e-8
4.1621121217626125e-8,2.1637853833739987e-8
5.604680220165574e-8,2.618434478603002e-8
2.516945526456428e-8,2.7975778679909784e-8
2.7705250892740648e-8,3.8609801941076056e-8
4.700226363200545e-8,2.358856868834457e-8
4.700226363200545e-8,2.358856868834457e-8
4.69732712814992e-8,2.5390862882093386e-8
4.310763374489383e-8,2.64083986045333e-8
3.280653681919671e-8,1.6763421886565108e-8
4.999552104606051e-8,1.554347530782644e-8
2.8183128284461337e-8,2.5715473863574082e-8
3.2768734263626314e-8,3.6950936377354036e-8
2.4472419342011092e-8,1.8584423218162278e-8
3.221597282569224e-8,2.0203141738846658e-8
4.52825777901827e-8,3.096014868945045e-8
3.64872295490667e-8,2.5163091671029696e-8
2.6302719450486298e-8,1.5875756084289586e-8
5.67240157892244e-8,3.570967940636512e-8
5.7484046885036445e-8,4.601168751720675e-8
3.604174624689495e-8,1.6200433641314276e-8
3.604174624689495e-8,1.6200433641314276e-8
3.604174624689495e-8,1.6200433641314276e-8
3.8430068270265955e-8,3.0566871542697596e-8
1.8943070264315426e-8,2.99096088994641e-8
2.1549458401652492e-8,7.560690861641466e-8
1.8423674274432774e-8,4.175492972335435e-8
2.6993566799168188e-8,5.7941681595378305e-8
2.6341261268734435e-8,2.9031271784504056e-8
2.5357044021458988e-8,3.904281215699481e-8
3.586621795486586e-8,4.826395186404611e-8
3.0896723925776905e-8,3.7290052416746234e-8
3.926597107612821e-8,1.8791992658538187e-8
4.4637795715441485e-8,2.934161127172754e-8
5.5963880002975156e-8,2.5549469733724238e-8
3.198217618203022e-8,2.0856899190186895e-8
3.181310181562612e-8,2.249048370979944e-8
3.2275415344531796e-8,1.7381615373063425e-8
4.526401927252666e-8,3.738124723539913e-8
6.62866776847915e-8,4.58932912824606e-8
5.1693185668941015e-8,4.1996515586737495e-8
5.1693185668941015e-8,4.1996515586737495e-8
2.87191708440252e-8,1.5002778804915105e-8
3.1238600937756937e-8,1.486125398923648e-8
3.1238600937756937e-8,1.486125398923648e-8
6.24576256603861e-8,3.906759262329691e-8
6.24576256603861e-8,3.906759262329691e-8
5.426022834727017e-8,3.110406311159242e-8
4.9246581137591304e-8,2.854192676227732e-8
3.110259399283206e-8,2.5051985841715182e-8
