a,b,σ
1.2411833095811642e-9,6.101028102639257e-10,4.514041633325315e-9
1.3494184453083685e-9,8.377912905789442e-10,4.994546716697627e-9
1.3453919456804763e-9,1.9300749015875573e-9,2.8906313124373793e-9
1.3453919456804763e-9,1.9300749015875573e-9,2.8906313124373793e-9
1.3172617359392206e-9,2.0122392306655207e-9,2.8523060588660945e-9
1.3172617359392206e-9,2.0122392306655207e-9,2.8523060588660945e-9
1.3218900989481825e-9,1.4017708116518974e-9,2.861841665908668e-9
1.2881954567623946e-9,5.745529632410318e-10,3.727098978738714e-9
1.2686046276292545e-9,9.027294437315698e-10,5.2581773159005315e-9
1.2609429797464584e-9,8.698349871210707e-10,5.372559204515742e-9
1.4646993270878081e-9,8.844948273856565e-10,3.461892930670435e-9
1.4128352877366278e-9,8.585480183397983e-10,4.2495937546233775e-9
1.4327022434836363e-9,7.458916280445454e-10,4.527565156663241e-9
1.3559909460198673e-9,1.106792741241567e-9,3.0350977175327727e-9
1.3189487381535088e-9,7.378600102780921e-10,2.7602141195998457e-9
1.4489993446055568e-9,9.309452324545595e-10,5.5098333665921694e-9
1.417590603727551e-9,1.015681769630406e-9,5.181151248522687e-9
1.2654571894707427e-9,6.795590049248467e-10,9.111934304880877e-9
1.4878921311432824e-9,1.6474082053111082e-9,8.472109005062497e-9
1.4647508590499107e-9,1.6686424371104092e-9,5.011597365323982e-9
1.4443384592119382e-9,1.0523015807700816e-9,1.0829117648114772e-8
1.5025415743405304e-9,1.2303233392965868e-9,9.35233261105631e-9
1.4829634852525752e-9,1.1221722702958745e-9,1.2250837394208638e-8
1.5392674387176814e-9,9.358956556911152e-10,6.269594144846113e-9
1.4236353193607491e-9,8.89035814093812e-10,4.351825240423696e-9
1.3129997767706656e-9,8.016005575274909e-10,4.0923388211772075e-9
1.4370807209086212e-9,8.894689291745396e-10,3.1435406400130554e-9
1.4370807209086212e-9,8.894689291745396e-10,3.1435406400130554e-9
1.2709230882919478e-9,1.5384166398676764e-9,5.114811210850971e-9
1.3669946525911432e-9,1.5313511311080386e-9,3.307745322573206e-9
1.5009388109403905e-9,8.105796633712991e-10,7.401310138739241e-9
1.592744681029771e-9,8.787348591197972e-10,5.436951786159639e-9
1.7660191810666642e-9,1.1012347346743241e-9,3.301868184790942e-8
1.5052713514767692e-9,1.1952535284512637e-9,3.033789943765291e-8
1.8548105029606362e-9,9.127626459581074e-10,1.0960091022080466e-8
1.6843106218794416e-9,1.0238240162208004e-9,2.3890761329464127e-8
1.7193673912941052e-9,8.875065035789589e-10,1.317435693047018e-8
1.4992912354513477e-9,1.3637991831697607e-9,9.021797738691808e-9
1.2400393840886135e-9,5.922970997267268e-10,2.9565436973656417e-9
1.6289111096776464e-9,1.1929948859319172e-9,8.227236332881317e-9
1.644663306088511e-9,1.0909123665244467e-9,6.127671427645525e-9
1.5263370496213233e-9,9.068960726442911e-10,9.590093373003267e-9
1.3057541157810525e-9,8.896885355808792e-10,3.845524431883842e-9
1.4038757170178099e-9,8.948857006094932e-10,2.5347553112051447e-9
1.3356155610937839e-9,7.214317582329348e-10,5.582665807002242e-9
1.3186244624508122e-9,8.610815815593307e-10,4.361969778469227e-9
1.2268518902192722e-9,1.3438388839519453e-9,3.827178874229482e-9
1.509477435782971e-9,8.507085183094049e-10,8.525885964627482e-9
1.595478245593976e-9,8.597408807165789e-10,8.64172353714685e-9
1.4001350406175146e-9,1.048071022554472e-9,9.016289284042082e-9
1.4995841398598036e-9,9.483530415833937e-10,7.309959363305676e-9
1.2969983429580816e-9,1.0924636550430901e-9,3.326299444126342e-9
1.3512679212251015e-9,1.402523276798809e-9,7.163718306393297e-9
1.3128631382669452e-9,1.3390085275213314e-9,1.0779723037648481e-8
1.3853092511778301e-9,1.0591635880085672e-9,3.6586207786343175e-9
1.3415253269082736e-9,8.779125951544614e-10,2.850867523917119e-9
1.4011894019035308e-9,9.286708616125336e-10,5.2428392882816626e-9
1.3946588342243837e-9,9.92770148192613e-10,3.9204772747929865e-9
1.448338135229584e-9,8.644374370821932e-10,3.99168390137929e-9
1.2766204364936347e-9,1.1982012368218352e-9,3.915277877991523e-9
1.3117042279618823e-9,1.131187255884901e-9,7.565889830031543e-9
1.3195879435503675e-9,1.0150352529794526e-9,3.2130866773089555e-9
1.41804332076896e-9,6.715595074435669e-10,3.298921762942521e-9
1.3590878617635554e-9,1.2176623443646621e-9,2.3034575700732116e-9
1.3475994708376518e-9,1.3179209685384148e-9,4.555957110446368e-9
1.3408783356205027e-9,7.521424945598066e-10,2.882206997672123e-9
1.389022692452097e-9,5.944618068722032e-10,2.2896952976732384e-9
1.4321892242087421e-9,6.629043204164122e-10,3.978967019391657e-9
