c,σ
1.3486290595594443e-8,4.587255862361948e-9
1.859172657483749e-8,1.2002459102111512e-8
1.4877408895613426e-8,7.414778018893755e-9
1.5540959283592097e-8,9.294635418622426e-9
1.5540959283592097e-8,9.294635418622426e-9
1.6649868086717818e-8,6.69716543880779e-9
1.1873946365521329e-8,9.536014705420397e-9
1.432508205924705e-8,9.159824785850347e-9
1.3534307997628881e-8,7.942206750840144e-9
1.1589282876339683e-8,8.89771614733237e-9
1.672326048243779e-8,1.094783986689506e-8
1.672326048243779e-8,1.094783986689506e-8
1.0818144626700597e-8,4.795987255782134e-9
1.6100226591840242e-8,6.937186263661666e-9
1.483360184395707e-8,1.0868004704766264e-8
1.483360184395707e-8,1.0868004704766264e-8
1.8325213133966882e-8,9.943466128883578e-9
1.8896602703338178e-8,1.4375671266554163e-8
1.5306852058525618e-8,1.7600237982187935e-8
1.5521537942935595e-8,1.9516832770599786e-8
1.4979608274443218e-8,2.2148161700474783e-8
1.7958961017323038e-8,1.4221142319247116e-8
1.3329149269866104e-8,5.3849685672588354e-9
1.3654500489900795e-8,6.405169742898848e-9
1.3511394064420124e-8,3.947913999991214e-9
1.3128055919835572e-8,7.2055041682526725e-9
1.8146950544250542e-8,1.500610769887804e-8
1.673278403437578e-8,1.3060443843798806e-8
1.673278403437578e-8,1.3060443843798806e-8
1.1431015538000758e-8,4.775241028958779e-9
1.8974852580128414e-8,8.836519352889322e-9
1.0756202403346161e-8,6.888563490335204e-9
2.1540947296837125e-8,1.1929479435714568e-8
1.3361661901366237e-8,1.002005001950619e-8
1.5484187349086552e-8,1.1827319650848187e-8
1.4209809977017808e-8,1.0265555587060668e-8
2.3403313901004734e-8,1.9537567147218985e-8
1.3982234571854623e-8,5.7036048182464784e-9
1.827613004736871e-8,1.076186427345217e-8
1.39242016996594e-8,5.356291971732459e-9
1.4956156107635638e-8,4.5207881229465815e-9
1.4110527915509097e-8,9.464708156312053e-9
1.644318570742803e-8,6.428438051378677e-9
1.5543485445135555e-8,1.0277454004080539e-8
2.0766789423998156e-8,7.121714078022098e-9
1.1975460888997658e-8,9.248662969772523e-9
1.8121308165768907e-8,6.075429441191298e-9
1.8670807417261576e-8,7.945692900391606e-9
1.0801133951089561e-8,1.0412804231245708e-8
9.863207155371583e-9,9.006537061812389e-9
1.058449035285224e-8,7.94066016892188e-9
1.0062827411959301e-8,9.830612193196674e-9
1.1469511182438432e-8,1.3337382840757823e-8
1.657659017283883e-8,5.8288366662244004e-9
1.2875920099649955e-8,7.1387984443327694e-9
1.4957541067231536e-8,3.6462566989060147e-9
1.260185852091506e-8,2.4073720679340727e-8
1.1985278758436003e-8,1.7271788391577223e-8
1.851032208568403e-8,1.004695883214671e-8
1.851032208568403e-8,1.004695883214671e-8
1.9297393993702486e-8,1.3527760711818092e-8
1.341172236464492e-8,1.6149463440781096e-8
1.6843970061648648e-8,1.2010039164228476e-8
1.540085198440713e-8,6.58370012234668e-9
1.1484852498657847e-8,7.59931771187658e-9
2.1014482309412986e-8,6.178625557204917e-9
1.2740153712487646e-8,9.279243131646067e-9
1.1812521377947602e-8,7.383941976018709e-9
1.555009732794725e-8,6.695735841169487e-9
1.4942381208876467e-8,7.161779788842872e-9
1.586348882530301e-8,6.876301557529845e-9
1.504345704037658e-8,4.4062928657751025e-9
1.504345704037658e-8,4.4062928657751025e-9
1.6484828225005044e-8,1.3430069282440268e-8
1.0823216378159985e-8,6.737473573384978e-9
1.0823216378159985e-8,6.737473573384978e-9
1.4257110700829527e-8,9.727362947434093e-9
1.4239404056655565e-8,9.249310441118229e-9
1.7412968625108523e-8,6.4352957351129925e-9
1.3855760367609467e-8,8.79161483645891e-9
1.8425148092844594e-8,1.1417325441337483e-8
1.4588930520702996e-8,5.723568542055914e-9
1.4588930520702996e-8,5.723568542055914e-9
1.2767109418692194e-8,8.55530957805851e-9
1.3420171726208381e-8,7.656257265021742e-9
1.739126717707777e-8,8.866967401828242e-9
1.739126717707777e-8,8.866967401828242e-9
1.2125714855008853e-8,1.0683852191555337e-8
1.366161856502987e-8,6.885863355391669e-9
1.366161856502987e-8,6.885863355391669e-9
1.1076007883271275e-8,4.728380513323387e-9
1.3277208764082553e-8,9.301007788639446e-9
1.4922914534428192e-8,1.1251947433754338e-8
2.4455203286168342e-8,1.1208154151980478e-8
1.896911244059866e-8,2.3037657777142466e-8
2.233197942745486e-8,1.135195714232e-8
1.757934410352886e-8,1.3813854328772439e-8
1.4085483694741329e-8,4.084180808391477e-9
1.4085483694741329e-8,4.084180808391477e-9
1.4085483694741329e-8,4.084180808391477e-9
1.4849654964844915e-8,1.158601989299989e-8
1.0515417342861162e-8,1.1557966538885257e-8
9.342898801539609e-9,8.381093203691651e-9
1.345421245843194e-8,9.542873330007104e-9
1.369329057564576e-8,8.135271265101695e-9
1.2196529753464141e-8,9.404531989219979e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4611767396179376e-8,5.143746318212049e-9
1.4687951845468517e-8,5.519540766784458e-9
1.8052818792006065e-8,1.3258984935947282e-8
2.3030290427436027e-8,1.0068042376047324e-8
1.8503806223644676e-8,1.0707062339380057e-8
1.2302147045533939e-8,9.142288230926823e-9
1.1781409152760103e-8,1.3248328393133371e-8
1.5711550480060695e-8,8.592011123074738e-9
1.0974219438309942e-8,1.082356783023738e-8
9.867149946429279e-9,1.3846422308563092e-8
9.24314225246853e-9,1.0256138990236568e-8
9.508128376954086e-9,6.940054309657226e-9
9.508128376954086e-9,6.940054309657226e-9
1.3128169947942763e-8,4.660140473151909e-9
1.2588771022199944e-8,1.1159375352665526e-8
1.2386957312032285e-8,1.1126869577401228e-8
2.0694024136652945e-8,5.502741177080434e-9
1.1749501885388982e-8,6.141694596898473e-9
9.454892086372242e-9,8.960015915578364e-9
9.17575239058425e-9,8.470757146778394e-9
8.658691695337457e-9,1.0112364545995537e-8
1.4760979537153114e-8,9.289896480867464e-9
1.1247709883424622e-8,5.796610652810793e-9
2.0673617702747622e-8,1.588727459020352e-8
1.8058156132723206e-8,1.997246918706454e-8
1.713691039483948e-8,1.8666401564357984e-8
1.5884631613866814e-8,1.1964213425176535e-8
1.539552172646328e-8,7.556483147767548e-9
1.4059086792141945e-8,5.7539292013445105e-9
1.1155924026486657e-8,7.2996832043179274e-9
1.1155924026486657e-8,7.2996832043179274e-9
1.448400697841447e-8,1.2625035351473044e-8
1.2752033821216996e-8,8.511084693383198e-9
1.6623944968012482e-8,6.390847069956631e-9
1.3222320750909132e-8,7.54807669256374e-9
1.4545008461653803e-8,5.933121629299591e-9
