a,b,σ
5.150652230681271e-10,9.284630001065725e-10,7.651653318715304e-9
5.744670037492606e-10,1.0730502275224922e-9,4.988218209092143e-9
5.744670037492606e-10,1.0730502275224922e-9,4.988218209092143e-9
7.340620390969191e-10,1.1346943880983927e-9,8.50603515294046e-9
7.340620390969191e-10,1.1346943880983927e-9,8.50603515294046e-9
7.340620390969191e-10,1.1346943880983927e-9,8.50603515294046e-9
7.599483551896646e-10,1.4723249579267238e-9,8.304669001343316e-9
5.412779693266815e-10,1.5453471252371487e-9,9.904907695033854e-9
5.003104238668236e-10,1.584911049035785e-9,7.666504412342414e-9
4.949592515190333e-10,1.4029734185122645e-9,7.897024857910705e-9
4.949592515190333e-10,1.4029734185122645e-9,7.897024857910705e-9
6.376733915540806e-10,7.153854770500533e-10,4.99355329536462e-9
5.784847142193238e-10,8.116819139799839e-10,5.381862315771867e-9
5.784847142193238e-10,8.116819139799839e-10,5.381862315771867e-9
5.784847142193238e-10,8.116819139799839e-10,5.381862315771867e-9
3.743759435899832e-10,1.160995851789182e-9,7.161553328178057e-9
3.556141086405248e-10,1.006127912505709e-9,1.10079297335736e-8
4.5148937591328977e-10,9.602846576273852e-10,1.288058328952772e-8
4.2420166869269464e-10,9.643322865582828e-10,1.1818818407967427e-8
3.517150638161946e-10,9.337898230839228e-10,1.5209143201772976e-8
7.157352960710096e-10,1.1241468496750935e-9,6.13463881947365e-9
6.990713076730733e-10,1.0810631193348538e-9,6.8567287089538514e-9
5.406750826309345e-10,1.1597412210964114e-9,7.456015881761446e-9
5.838062695899281e-10,1.8167288889097803e-9,9.564622236839629e-9
4.950412893112846e-10,9.652666046613758e-10,5.662681858034208e-9
4.916266927055324e-10,1.1675487161019013e-9,1.0196521407689923e-8
3.351431861888663e-10,1.328437765247767e-9,7.577208596772524e-9
3.2383048960008647e-10,1.4081922429680513e-9,8.911820670840048e-9
6.38426003534112e-10,7.448128707810043e-10,1.256791682026916e-8
5.350662808743214e-10,1.144500734282791e-9,5.772216121066102e-9
3.6575142702232393e-10,1.1798288663446636e-9,5.191720640130419e-9
4.404106612972253e-10,7.171126699384805e-10,7.2857215709768806e-9
3.318944846432215e-10,8.572388854580057e-10,7.209254429364781e-9
4.6448942407750346e-10,8.830101859773565e-10,8.975132873169499e-9
6.614886113327864e-10,1.2655929995598722e-9,7.457868069828917e-9
3.822879986069798e-10,9.507537373138403e-10,1.1442946744247239e-8
6.24730823491856e-10,1.155061772776096e-9,5.764388934424393e-9
6.043317461777411e-10,7.976296496733815e-10,6.342152380774374e-9
5.267463409929883e-10,1.2581128623557052e-9,6.9395702268989944e-9
5.34318940065139e-10,1.1801840714029404e-9,3.6077718105595933e-9
5.34318940065139e-10,1.1801840714029404e-9,3.6077718105595933e-9
5.34318940065139e-10,1.1801840714029404e-9,3.6077718105595933e-9
5.072764427011774e-10,1.324762932900704e-9,4.9687595173174695e-9
7.51776242177934e-10,1.8518321129825468e-9,5.572396013989409e-9
6.726439115516218e-10,1.7521074945637083e-9,7.460064559952591e-9
6.130028855156939e-10,1.093170323090398e-9,9.874025289767959e-9
5.40608026427899e-10,1.2186883412504137e-9,5.704758268521098e-9
4.0052036239793883e-10,1.0664933828047065e-9,8.038241890710466e-9
3.089341998714816e-10,9.559593485577112e-10,1.0216611513367738e-8
4.243276588705112e-10,1.101935009075208e-9,7.459434643758606e-9
4.271211504000601e-10,1.1825731498542768e-9,5.94626043657609e-9
6.306357983495947e-10,1.3152964490095725e-9,6.777581873641511e-9
5.377141342075039e-10,1.3313758256365659e-9,9.677108479687838e-9
5.7422870718903e-10,1.062540212492842e-9,7.834252612750343e-9
5.174578689908272e-10,8.406562888624971e-10,4.086273672071829e-9
5.186668801638469e-10,8.653042658147678e-10,1.1040237490035165e-8
7.671205969922559e-10,1.4678220449709613e-9,8.989597892605362e-9
3.951178484149587e-10,1.2024368841344505e-9,7.842466046921684e-9
4.860547525321089e-10,1.1349256985723152e-9,1.0779916639356695e-8
6.994648302369679e-10,9.912504835305534e-10,1.2092127233394617e-8
